#
# Source:        TWRI(A5)fig2 for vertical slope
# Digitized by:  William Miller
# Date:          09-07-2010
#
h.over.P             C
0.00197145726649  3.27162217455
0.111864700996  3.31430980397
0.2243121598  3.35796704319
0.382611498927  3.4170884428
0.500043396858  3.4606960856
0.604704219415  3.49945567941
0.747616272582  3.55176501221
0.872772811248  3.59927589243
1.00035957397  3.64576756643
1.12277591102  3.68932561283
1.22201832587  3.72117394701
1.33153959653  3.75789512839
1.4459213153  3.79257789736
1.56516348216  3.82522225391
1.666464148  3.85008493385
1.74745508425  3.8691795514
1.87404991879  3.89976069733
2.02052051431  3.92914904961
2.24505585796  3.97069596161
2.38872425636  3.99513707208
2.54229953751  4.01848458172
2.70602968345  4.04471612255
2.89468202502  4.07069968134
3.07081127326  4.09581282315
3.24164610482  4.11600352135
3.38737275421  4.13345897757
3.56069980533  4.15362487756
3.74405773022  4.17468599273
3.9246754535  4.19179427409
4.06766190128  4.2052968965
4.19806326022  4.21693469393
4.34597215162  4.22939331192
4.48889660389  4.24190152633
4.62422040644  4.25249531934
4.73705223742  4.26231788818
4.86732960534  4.2719668696
4.99006831905  4.28069583762

