#
# Source:        TWRI(A5)fig7 for 2:1 slope
# Digitized by:  William Miller
# Date:          09-07-2010
#
h.over.L           C
0.0972677595628  2.90001493028
0.126775956284  2.90094657947
0.175956284153  2.90614231539
0.203278688525  2.91036459733
0.150819672131  2.90190808922
0.228415300546  2.91459882349
0.249180327869  2.9188569381
0.272131147541  2.92419600466
0.295081967213  2.92953507122
0.312568306011  2.9359968945
0.334426229508  2.94352772552
0.362841530055  2.9543014124
0.380327868852  2.96076323569
0.410928961749  2.97480366688
0.452459016393  2.99424885783
0.487431693989  3.01700856998
0.518032786885  3.03432768969
0.556284153005  3.0570694855
0.584699453552  3.07440054943
0.609836065574  3.08956373735
0.64043715847  3.10797575323
0.689617486339  3.13830810117
0.714754098361  3.15237839291
0.744262295082  3.17298217325
0.778142076503  3.19137627281
0.801092896175  3.20655140494
0.845901639344  3.23362895279
0.879781420765  3.25311594852
0.911475409836  3.27261488847
0.939890710383  3.2899459524
0.973770491803  3.31052584431
1.01857923497  3.33760339216
1.06010928962  3.36251306399
1.09726775956  3.38307503957
1.13442622951  3.40254411896
1.18142076503  3.43070261877
1.22732240437  3.45230971364
1.27322404372  3.47610260085
1.31256830601  3.49228104751
1.33989071038  3.50633939503
1.3693989071  3.51820000597
1.3956284153  3.53007853325
1.42404371585  3.54194511631
1.46010928962  3.55486279077
1.48743169399  3.56673534593
1.51475409836  3.57532921258
1.54754098361  3.58717190719
1.57267759563  3.59687061423
1.6043715847  3.60653348861
1.62841530055  3.61405237541
1.65464480874  3.62155931799
1.69945355191  3.63552211174
1.74535519126  3.64729314103
1.79453551913  3.65795335782
1.83825136612  3.66645764281
1.88415300546  3.6738570874
1.94644808743  3.68116695034
1.97049180328  3.68322135627
1.9956284153  3.68417689391
