#
# Source:        TWRI(A5)fig2 for 1:3 slope
# Digitized by:  William Miller
# Date:          09-07-2010
#
h.over.P               C
0.00117791471897  3.41889375209
0.14895041599  3.46916467248
0.25847168665  3.50588585386
0.357900088034  3.54071741206
0.477576223481  3.58032262464
0.610023434303  3.62477588623
0.709327844664  3.65761862841
0.80607803995  3.6894917608
0.920645745248  3.72715775378
0.999454439499  3.75124920956
1.02755080532  3.76191491736
1.12928543973  3.79373845334
1.2334502982  3.8245427831
1.34016937174  3.85631672267
1.45959752514  3.89194430323
1.55360751882  3.9198646018
1.67802011134  3.95544258596
1.78716940893  3.98619731931
1.90136514116  4.01789686427
2.04091703761  4.05630928321
2.14745012461  4.08509999876
2.25902964625  4.11483552591
2.3781478221  4.14549106645
2.49209557228  4.17321297938
2.58585758391  4.19715564593
2.7148826425  4.22671758565
2.82870640166  4.25245068257
2.9424681653  4.27718937149
3.08401631722  4.30762172819
3.2431339971  4.33986931346
3.39197282117  4.36724405153
3.50548660277  4.38800510843
3.6643563006  4.41627506169
3.78783896046  4.43693692577
3.91119762929  4.45560997384
4.00683190537  4.46958376214
4.15517476535  4.48900323617
4.27080879344  4.50377304683
4.40145813443  4.51938847627
4.54955301236  4.53483031828
4.66250883436  4.54664170314
4.79789463243  4.55822990415
4.91321868297  4.5680276748
4.99346567309  4.57518939629

