#
# Source:        TWRI(A5)fig3 for b.over.B = 0.20 slope
# Digitized by:  William Miller
# Date:          09-07-2010
#
h.over.P             kc
0.0027027027027  0.984266409266
0.0350284495021  0.980106939646
0.0800497866287  0.974785358667
0.146159317212  0.966813147734
0.224928876245  0.957321936598
0.299502133713  0.948574984759
0.364224751067  0.940969823207
0.48673541963  0.927594747003
0.555689900427  0.919602214997
0.671159317212  0.906991719163
0.747155049787  0.898234606787
0.841536273115  0.888274740906
0.919025604552  0.880221245682
0.999324324324  0.871790540541
1.07820056899  0.863369995936
1.19089615932  0.851493598862
1.26699857752  0.843807153018
1.36849217639  0.833796484454
1.45163584637  0.82534545824
1.51938122333  0.819504419833
1.62517780939  0.809820158504
1.70561877667  0.802817008738
1.77617354196  0.796598760415
1.86934566145  0.788790388132
1.93573968706  0.78367328795
2.0176742532  0.777373755334
2.07983641536  0.772644025605
2.14907539118  0.767506604349
2.21554054054  0.763103281853
2.30608108108  0.757456563707
2.38669985775  0.752237858159
2.47585348506  0.746958189392
2.55092460882  0.743207681366
2.65999288762  0.737785765088
2.74640825036  0.733597083926
2.8173541963  0.731304612884
