#
# Source:        TWRI(A5)fig3 for h.over.P = 0.50 slope
# Digitized by:  William Miller
# Date:          09-07-2010
#
ht.over.H           kt
0.0771662419134  1.02810478338
0.096074299157  1.02324789257
0.113477749461  1.01937365223
0.133375808665  1.01452166242
0.155778278769  1.00819692217
0.190119584395  0.998960988042
0.21350225446  0.993136149775
0.232439717702  0.986794256028
0.258326798667  0.97949666732
0.287223093511  0.970233777691
0.319623603215  0.95900803764
0.340550872378  0.952180944913
0.35650852774  0.946319349147
0.373446383062  0.940957655362
0.392423054303  0.932635757695
0.412884728485  0.924321211527
0.431346794746  0.916986865321
0.452808272888  0.908182219173
0.472794550088  0.898875220545
0.492780827289  0.889568221917
0.515281317389  0.878293471868
0.534287394629  0.868486571261
0.554817682807  0.856707018232
0.576347774946  0.844437365223
0.593373848265  0.834620662615
0.605876298765  0.82824691237
0.626921191923  0.815479807881
0.6474906881  0.801720250931
0.673078808077  0.784520192119
0.696191923152  0.767307880808
0.714296216428  0.753041070378
0.734934326603  0.735816506567
0.751068417957  0.721044893158
0.76925112723  0.702818074887
0.79350127426  0.678185649873
0.806724171731  0.660429327583
0.814820623407  0.651558517938
0.823975691041  0.639227602431
0.833625759655  0.626899137424
0.842790629288  0.614073220937
0.850945892962  0.602232405411
0.862713193491  0.582983728681
0.876519309939  0.560774848069
0.887345618506  0.539046265438
0.896142913154  0.519782885709
0.906474220741  0.498051852578
0.913727700451  0.48175112723
0.921020388159  0.463470397961
0.929332483827  0.443709566752
0.935605763576  0.426908939424
0.941403646344  0.409115859635
0.948328759067  0.384397667124
0.955214663791  0.361659478534
0.958963928641  0.347321603607
