#
# Source:        TWRI(A5)fig6 for 2:3 slope
# Digitized by:  William Miller
# Date:          09-07-2010
#
h.over.P           h.over.L
0.179300522235  1.98183256844
0.281911694888  1.98467479031
0.409400221554  1.98623199873
0.509336920399  1.9913752176
0.664519702485  1.99277417313
0.753283747428  1.99569552144
0.883541699636  1.99723690457
0.997183098592  1.99887323944
1.08871656908  2.00177876246
1.21625257161  2.00447855673
1.31327741731  2.00620984333
1.42696629213  2.00898876404
1.54056021522  2.00948251306
1.67645197025  2.01327741731
1.80943187213  2.0136603893
1.9258901725  2.01642348473
2.08374742839  2.01552144327
2.2695837949  2.02131666403
2.42471910112  2.02157303371
2.59656591233  2.02401962336
2.73513214116  2.02551353062
2.85985124229  2.02708656433
3.00400379807  2.02969140687
3.11482829562  2.03020098117
3.25344200032  2.03283747428
3.37257477449  2.03329957272
3.50550720051  2.03253995885
