#
# Source:        TWRI(A5)fig2 for 2:3 slope
# Digitized by:  William Miller
# Date:          09-07-2010
#
h.over.P            C
0.00163658004364  3.5462507439
0.106104939496  3.58192322952
0.218173477485  3.61950257885
0.337904185677  3.65998313827
0.439756496727  3.6936942075
0.538992759373  3.72544386035
0.628136778417  3.75531392581
0.727435032732  3.78805792501
0.836887522317  3.82367585796
0.920799444555  3.84962309066
0.999665244991  3.87463052966
1.11154780797  3.90922683991
1.21078407062  3.94097649276
1.27687958738  3.96114858163
1.36072951795  3.98610146796
1.42950307479  4.00922931958
1.52101517556  4.03708341599
1.59726492759  4.0601294386
1.7014233287  4.09083019242
1.85660087284  4.1398780004
1.98355980956  4.17629934537
2.09033425908  4.20896151557
2.237477683  4.24914203531
2.34400416584  4.27782682008
2.43277623487  4.30173080738
2.55948720492  4.33417476691
2.65822753422  4.35796964888
2.77715235072  4.38552370561
2.92635389804  4.4187165245
3.01737006546  4.43861585003
3.12850872843  4.46128000397
3.24712358659  4.4838623289
3.34050783575  4.50174568538
3.47407508431  4.52416435231
3.58247371553  4.54287839714
3.69834854196  4.56151061297
3.82169956358  4.5800609998
3.9299122198  4.59579200555
4.04553907955  4.61044683595
4.16608807776  4.62405276731
4.28165294584  4.63771325134
4.37958738346  4.64858163063
4.46481352906  4.65560900615
4.56767010514  4.66542848641
4.69550932355  4.67596954969
4.81824042849  4.68457647292
4.91337284269  4.69050039675
4.99349087483  4.69559363222
